"","Commodities/Industries","111CA","113FF","211","212","213","22","23","321","327","331","332","333","334","335","3361MV","3364OT","337","339","311FT","313TT","315AL","322","323","324","325","326","42","441","445","452","4A0","481","482","483","484","485","486","487OS","493","511","512","513","514","521CI","523","524","525","HS","ORE","532RL","5411","5415","5412OP","55","561","562","61","621","622","623","624","711AS","713","721","722","81","GFGD","GFGN","GFE","GSLG","GSLE","T007","MCIF","MADJ","T013","Trade","Trans","T014","MDTY","TOP","SUB","T015","T016"
"","Name","Farms","Forestry, fishing, and related activities","Oil and gas extraction","Mining, except oil and gas","Support activities for mining","Utilities","Construction","Wood products","Nonmetallic mineral products","Primary metals","Fabricated metal products","Machinery","Computer and electronic products","Electrical equipment, appliances, and components","Motor vehicles, bodies and trailers, and parts","Other transportation equipment","Furniture and related products","Miscellaneous manufacturing","Food and beverage and tobacco products","Textile mills and textile product mills","Apparel and leather and allied products","Paper products","Printing and related support activities","Petroleum and coal products","Chemical products","Plastics and rubber products","Wholesale trade","Motor vehicle and parts dealers","Food and beverage stores","General merchandise stores","Other retail","Air transportation","Rail transportation","Water transportation","Truck transportation","Transit and ground passenger transportation","Pipeline transportation","Other transportation and support activities","Warehousing and storage","Publishing industries, except internet (includes software)","Motion picture and sound recording industries","Broadcasting and telecommunications","Data processing, internet publishing, and other information services","Federal Reserve banks, credit intermediation, and related activities","Securities, commodity contracts, and investments","Insurance carriers and related activities","Funds, trusts, and other financial vehicles","Housing","Other real estate","Rental and leasing services and lessors of intangible assets","Legal services","Computer systems design and related services","Miscellaneous professional, scientific, and technical services","Management of companies and enterprises","Administrative and support services","Waste management and remediation services","Educational services","Ambulatory health care services","Hospitals","Nursing and residential care facilities","Social assistance","Performing arts, spectator sports, museums, and related activities","Amusements, gambling, and recreation industries","Accommodation","Food services and drinking places","Other services, except government","Federal general government (defense)","Federal general government (nondefense)","Federal government enterprises","State and local general government","State and local government enterprises","Total Commodity Output","Imports","CIF/FOB Adjustments on Imports","Total product supply (basic prices)","Trade margins","Transport margins","Total trade and transportation margins","Import duties","Tax on products","Subsidies","Total tax less subsidies on products","Total product supply (purchaser prices)"
"4A0","Other retail","---","---","---","---","---",18,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",990027,"---","---","---","---",7,"---",0,"---",116,219,742,1008,"---","---","---","---","---","---",820,"---",368,4259,"---",694,143,1348,10123,1051,17,179,933,1428,518,1404,3136,"---","---",28,"---","---",1018586,"---","---",1018586,-977560,"---",-977560,"---",0,-29586,-29586,11440
"481","Air transportation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",134234,"---","---","---","---","---",254,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",134488,12534,-805,146216,"---",-1453,-1453,"---",11040,-20586,-9546,135217
"482","Rail transportation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",75563,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",157,75720,0,-432,75288,"---",-64770,-64770,"---",787,-4300,-3513,7006
"483","Water transportation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",38512,"---","---","---",1200,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",422,40134,0,-11717,28417,"---",-8025,-8025,"---",194,-452,-258,20133
"484","Truck transportation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",29,"---","---","---","---","---","---",376246,"---","---",1876,2100,"---","---","---","---","---","---","---","---","---","---",826,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",381076,0,-5389,375687,"---",-326834,-326834,"---",393,-9917,-9524,39328
"485","Transit and ground passenger transportation","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",67448,"---",257,"---","---","---","---","---","---","---","---","---","---","---",29,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",16193,83926,"---","---",83926,"---","---","---","---",1055,-1869,-815,83112
"486","Pipeline transportation","---","---","---","---","---",3034,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",644,"---","---","---","---","---","---","---","---","---",56597,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",60275,"---","---",60275,"---",-59495,-59495,"---",71,-92,-22,758
"487OS","Other transportation and support activities","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1203,463,"---","---",3883,227,"---",1527,4070,48,"---",264658,460,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",17,"---","---","---","---","---","---","---","---","---","---","---","---","---","---",14641,291195,43,-4011,287227,"---","---","---","---",377,-5158,-4781,282446
"493","Warehousing and storage","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",17,375,"---","---",53,"---","---","---",4738,"---","---",1624,153645,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",160451,"---","---",160451,"---","---","---","---",182,-1327,-1145,159306
"511","Publishing industries, except internet (includes software)","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",332751,"---","---",17984,"---","---","---","---","---","---","---","---",2699,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",73,"---",521,"---",354029,3929,"---",357958,117312,5482,122795,41,9649,-3934,5757,486509
